Year,Область,Value
2015,,
2016,,
2017,,
2018,,
2019,,
2020,,
2021,,1.51
2022,,
2023,,
2015,Вінницька,
2016,Вінницька,
2017,Вінницька,
2018,Вінницька,
2019,Вінницька,
2020,Вінницька,
2021,Вінницька,0.54
2022,Вінницька,
2023,Вінницька,
2015,Волинська,
2016,Волинська,
2017,Волинська,
2018,Волинська,
2019,Волинська,
2020,Волинська,
2021,Волинська,0.16
2022,Волинська,
2023,Волинська,
2015,Дніпропетровська,
2016,Дніпропетровська,
2017,Дніпропетровська,
2018,Дніпропетровська,
2019,Дніпропетровська,
2020,Дніпропетровська,
2021,Дніпропетровська,0.05
2022,Дніпропетровська,
2023,Дніпропетровська,
2015,Донецька,
2016,Донецька,
2017,Донецька,
2018,Донецька,
2019,Донецька,
2020,Донецька,
2021,Донецька,2.31
2022,Донецька,
2023,Донецька,
2015,Житомирська,
2016,Житомирська,
2017,Житомирська,
2018,Житомирська,
2019,Житомирська,
2020,Житомирська,
2021,Житомирська,6.43
2022,Житомирська,
2023,Житомирська,
2015,Закарпатська,
2016,Закарпатська,
2017,Закарпатська,
2018,Закарпатська,
2019,Закарпатська,
2020,Закарпатська,
2021,Закарпатська,0.26
2022,Закарпатська,
2023,Закарпатська,
2015,Запорізька,
2016,Запорізька,
2017,Запорізька,
2018,Запорізька,
2019,Запорізька,
2020,Запорізька,
2021,Запорізька,0.01
2022,Запорізька,
2023,Запорізька,
2015,Івано-Франківська,
2016,Івано-Франківська,
2017,Івано-Франківська,
2018,Івано-Франківська,
2019,Івано-Франківська,
2020,Івано-Франківська,
2021,Івано-Франківська,2.53
2022,Івано-Франківська,
2023,Івано-Франківська,
2015,Київська,
2016,Київська,
2017,Київська,
2018,Київська,
2019,Київська,
2020,Київська,
2021,Київська,0.0
2022,Київська,
2023,Київська,
2015,Кіровоградська,
2016,Кіровоградська,
2017,Кіровоградська,
2018,Кіровоградська,
2019,Кіровоградська,
2020,Кіровоградська,
2021,Кіровоградська,2.91
2022,Кіровоградська,
2023,Кіровоградська,
2015,Луганська,
2016,Луганська,
2017,Луганська,
2018,Луганська,
2019,Луганська,
2020,Луганська,
2021,Луганська,1.66
2022,Луганська,
2023,Луганська,
2015,Львівська,
2016,Львівська,
2017,Львівська,
2018,Львівська,
2019,Львівська,
2020,Львівська,
2021,Львівська,4.1
2022,Львівська,
2023,Львівська,
2015,Миколаївська,
2016,Миколаївська,
2017,Миколаївська,
2018,Миколаївська,
2019,Миколаївська,
2020,Миколаївська,
2021,Миколаївська,4.32
2022,Миколаївська,
2023,Миколаївська,
2015,Одеська,
2016,Одеська,
2017,Одеська,
2018,Одеська,
2019,Одеська,
2020,Одеська,
2021,Одеська,0.34
2022,Одеська,
2023,Одеська,
2015,Полтавська,
2016,Полтавська,
2017,Полтавська,
2018,Полтавська,
2019,Полтавська,
2020,Полтавська,
2021,Полтавська,0.1
2022,Полтавська,
2023,Полтавська,
2015,Рівненська,
2016,Рівненська,
2017,Рівненська,
2018,Рівненська,
2019,Рівненська,
2020,Рівненська,
2021,Рівненська,0.9
2022,Рівненська,
2023,Рівненська,
2015,Сумська,
2016,Сумська,
2017,Сумська,
2018,Сумська,
2019,Сумська,
2020,Сумська,
2021,Сумська,0.58
2022,Сумська,
2023,Сумська,
2015,Тернопільська,
2016,Тернопільська,
2017,Тернопільська,
2018,Тернопільська,
2019,Тернопільська,
2020,Тернопільська,
2021,Тернопільська,1.29
2022,Тернопільська,
2023,Тернопільська,
2015,Харківська,
2016,Харківська,
2017,Харківська,
2018,Харківська,
2019,Харківська,
2020,Харківська,
2021,Харківська,0.48
2022,Харківська,
2023,Харківська,
2015,Херсонська,
2016,Херсонська,
2017,Херсонська,
2018,Херсонська,
2019,Херсонська,
2020,Херсонська,
2021,Херсонська,0.63
2022,Херсонська,
2023,Херсонська,
2015,Хмельницька,
2016,Хмельницька,
2017,Хмельницька,
2018,Хмельницька,
2019,Хмельницька,
2020,Хмельницька,
2021,Хмельницька,4.56
2022,Хмельницька,
2023,Хмельницька,
2015,Черкаська,
2016,Черкаська,
2017,Черкаська,
2018,Черкаська,
2019,Черкаська,
2020,Черкаська,
2021,Черкаська,0.1
2022,Черкаська,
2023,Черкаська,
2015,Чернівецька,
2016,Чернівецька,
2017,Чернівецька,
2018,Чернівецька,
2019,Чернівецька,
2020,Чернівецька,
2021,Чернівецька,0.92
2022,Чернівецька,
2023,Чернівецька,
2015,Чернігівська,
2016,Чернігівська,
2017,Чернігівська,
2018,Чернігівська,
2019,Чернігівська,
2020,Чернігівська,
2021,Чернігівська,1.55
2022,Чернігівська,
2023,Чернігівська,
