Year,Область,Value
2015,,50.9
2016,,49.7
2017,,52.8
2018,,57.8
2019,,58.7
2020,,56.5
2021,,59.0
2022,,
2023,,
2015,Вінницька,54.3
2016,Вінницька,54.6
2017,Вінницька,58.2
2018,Вінницька,62.6
2019,Вінницька,63.5
2020,Вінницька,63.6
2021,Вінницька,65.7
2022,Вінницька,
2023,Вінницька,
2015,Волинська,43.9
2016,Волинська,40.4
2017,Волинська,42.1
2018,Волинська,46.1
2019,Волинська,49.3
2020,Волинська,52.3
2021,Волинська,52.5
2022,Волинська,
2023,Волинська,
2015,Дніпропетровська,57.1
2016,Дніпропетровська,59.1
2017,Дніпропетровська,61.1
2018,Дніпропетровська,70.6
2019,Дніпропетровська,68.1
2020,Дніпропетровська,63.7
2021,Дніпропетровська,66.4
2022,Дніпропетровська,
2023,Дніпропетровська,
2015,Донецька,40.9
2016,Донецька,37.7
2017,Донецька,41.7
2018,Донецька,43.1
2019,Донецька,45.6
2020,Донецька,42.3
2021,Донецька,43.5
2022,Донецька,
2023,Донецька,
2015,Житомирська,47.2
2016,Житомирська,46.6
2017,Житомирська,49.0
2018,Житомирська,51.6
2019,Житомирська,54.6
2020,Житомирська,49.8
2021,Житомирська,55.0
2022,Житомирська,
2023,Житомирська,
2015,Закарпатська,48.9
2016,Закарпатська,50.0
2017,Закарпатська,51.3
2018,Закарпатська,57.3
2019,Закарпатська,55.8
2020,Закарпатська,52.2
2021,Закарпатська,57.2
2022,Закарпатська,
2023,Закарпатська,
2015,Запорізька,46.5
2016,Запорізька,46.1
2017,Запорізька,49.7
2018,Запорізька,59.4
2019,Запорізька,53.8
2020,Запорізька,52.5
2021,Запорізька,58.0
2022,Запорізька,
2023,Запорізька,
2015,Івано-Франківська,44.2
2016,Івано-Франківська,46.2
2017,Івано-Франківська,49.2
2018,Івано-Франківська,52.7
2019,Івано-Франківська,54.7
2020,Івано-Франківська,54.4
2021,Івано-Франківська,58.2
2022,Івано-Франківська,
2023,Івано-Франківська,
2015,Київська,72.1
2016,Київська,73.1
2017,Київська,75.8
2018,Київська,82.8
2019,Київська,81.4
2020,Київська,77.5
2021,Київська,82.2
2022,Київська,
2023,Київська,
2015,Кіровоградська,45.4
2016,Кіровоградська,41.9
2017,Кіровоградська,45.8
2018,Кіровоградська,50.5
2019,Кіровоградська,53.5
2020,Кіровоградська,49.4
2021,Кіровоградська,52.9
2022,Кіровоградська,
2023,Кіровоградська,
2015,Луганська,36.7
2016,Луганська,34.6
2017,Луганська,38.2
2018,Луганська,41.2
2019,Луганська,45.3
2020,Луганська,43.0
2021,Луганська,44.1
2022,Луганська,
2023,Луганська,
2015,Львівська,48.4
2016,Львівська,46.2
2017,Львівська,48.8
2018,Львівська,54.7
2019,Львівська,58.5
2020,Львівська,58.5
2021,Львівська,65.8
2022,Львівська,
2023,Львівська,
2015,Миколаївська,51.1
2016,Миколаївська,47.6
2017,Миколаївська,51.3
2018,Миколаївська,58.6
2019,Миколаївська,62.1
2020,Миколаївська,60.0
2021,Миколаївська,60.3
2022,Миколаївська,
2023,Миколаївська,
2015,Одеська,60.2
2016,Одеська,55.0
2017,Одеська,57.6
2018,Одеська,65.5
2019,Одеська,64.3
2020,Одеська,59.5
2021,Одеська,58.6
2022,Одеська,
2023,Одеська,
2015,Полтавська,52.6
2016,Полтавська,48.0
2017,Полтавська,52.1
2018,Полтавська,53.0
2019,Полтавська,54.7
2020,Полтавська,58.3
2021,Полтавська,57.3
2022,Полтавська,
2023,Полтавська,
2015,Рівненська,40.6
2016,Рівненська,38.0
2017,Рівненська,41.0
2018,Рівненська,41.8
2019,Рівненська,44.8
2020,Рівненська,44.7
2021,Рівненська,47.2
2022,Рівненська,
2023,Рівненська,
2015,Сумська,38.6
2016,Сумська,36.3
2017,Сумська,39.6
2018,Сумська,46.9
2019,Сумська,45.8
2020,Сумська,43.3
2021,Сумська,44.6
2022,Сумська,
2023,Сумська,
2015,Тернопільська,41.7
2016,Тернопільська,42.0
2017,Тернопільська,45.2
2018,Тернопільська,49.2
2019,Тернопільська,53.7
2020,Тернопільська,52.1
2021,Тернопільська,53.9
2022,Тернопільська,
2023,Тернопільська,
2015,Харківська,52.2
2016,Харківська,52.1
2017,Харківська,55.3
2018,Харківська,55.7
2019,Харківська,55.6
2020,Харківська,50.7
2021,Харківська,50.2
2022,Харківська,
2023,Харківська,
2015,Херсонська,47.2
2016,Херсонська,44.9
2017,Херсонська,48.1
2018,Херсонська,50.6
2019,Херсонська,52.1
2020,Херсонська,50.6
2021,Херсонська,48.1
2022,Херсонська,
2023,Херсонська,
2015,Хмельницька,55.6
2016,Хмельницька,55.7
2017,Хмельницька,59.1
2018,Хмельницька,63.3
2019,Хмельницька,64.4
2020,Хмельницька,62.8
2021,Хмельницька,65.0
2022,Хмельницька,
2023,Хмельницька,
2015,Черкаська,48.9
2016,Черкаська,47.8
2017,Черкаська,50.9
2018,Черкаська,60.9
2019,Черкаська,62.7
2020,Черкаська,60.9
2021,Черкаська,64.9
2022,Черкаська,
2023,Черкаська,
2015,Чернівецька,58.4
2016,Чернівецька,60.1
2017,Чернівецька,61.7
2018,Чернівецька,72.1
2019,Чернівецька,70.1
2020,Чернівецька,65.7
2021,Чернівецька,72.6
2022,Чернівецька,
2023,Чернівецька,
2015,Чернігівська,43.2
2016,Чернігівська,38.9
2017,Чернігівська,43.7
2018,Чернігівська,45.8
2019,Чернігівська,52.9
2020,Чернігівська,55.7
2021,Чернігівська,57.6
2022,Чернігівська,
2023,Чернігівська,
