Year,Region,Value
2015,,12.2
2016,,12.8
2017,,12.0
2018,,11.5
2019,,11.7
2020,,11.6
2021,,11.1
2022,,
2023,,
2015,Vinnytsya,12.5
2016,Vinnytsya,11.6
2017,Vinnytsya,10.5
2018,Vinnytsya,10.6
2019,Vinnytsya,9.5
2020,Vinnytsya,10.4
2021,Vinnytsya,9.1
2022,Vinnytsya,
2023,Vinnytsya,
2015,Volyn,17.3
2016,Volyn,15.8
2017,Volyn,13.1
2018,Volyn,11.8
2019,Volyn,10.1
2020,Volyn,11.5
2021,Volyn,14.7
2022,Volyn,
2023,Volyn,
2015,Dnipropetrovsk,10.9
2016,Dnipropetrovsk,13.8
2017,Dnipropetrovsk,13.1
2018,Dnipropetrovsk,11.9
2019,Dnipropetrovsk,8.9
2020,Dnipropetrovsk,11.5
2021,Dnipropetrovsk,11.5
2022,Dnipropetrovsk,
2023,Dnipropetrovsk,
2015,Donetsk,
2016,Donetsk,
2017,Donetsk,
2018,Donetsk,
2019,Donetsk,
2020,Donetsk,
2021,Donetsk,
2022,Donetsk,
2023,Donetsk,
2015,Zhytomyr,21.2
2016,Zhytomyr,17.6
2017,Zhytomyr,15.4
2018,Zhytomyr,14.4
2019,Zhytomyr,18.3
2020,Zhytomyr,15.8
2021,Zhytomyr,17.9
2022,Zhytomyr,
2023,Zhytomyr,
2015,Zakarpattya,10.6
2016,Zakarpattya,13.1
2017,Zakarpattya,14.2
2018,Zakarpattya,12.0
2019,Zakarpattya,13.4
2020,Zakarpattya,15.3
2021,Zakarpattya,12.4
2022,Zakarpattya,
2023,Zakarpattya,
2015,Zaporizhzhya,11.2
2016,Zaporizhzhya,12.4
2017,Zaporizhzhya,8.8
2018,Zaporizhzhya,10.6
2019,Zaporizhzhya,10.7
2020,Zaporizhzhya,14.2
2021,Zaporizhzhya,12.1
2022,Zaporizhzhya,
2023,Zaporizhzhya,
2015,Ivano-Frankivsk,10.9
2016,Ivano-Frankivsk,11.8
2017,Ivano-Frankivsk,10.4
2018,Ivano-Frankivsk,10.8
2019,Ivano-Frankivsk,8.8
2020,Ivano-Frankivsk,10.5
2021,Ivano-Frankivsk,11.5
2022,Ivano-Frankivsk,
2023,Ivano-Frankivsk,
2015,Kyiv,11.8
2016,Kyiv,16.9
2017,Kyiv,12.0
2018,Kyiv,15.2
2019,Kyiv,13.5
2020,Kyiv,12.0
2021,Kyiv,11.0
2022,Kyiv,
2023,Kyiv,
2015,Kirovohrad,14.3
2016,Kirovohrad,20.3
2017,Kirovohrad,17.6
2018,Kirovohrad,14.5
2019,Kirovohrad,17.0
2020,Kirovohrad,12.9
2021,Kirovohrad,14.6
2022,Kirovohrad,
2023,Kirovohrad,
2015,Luhansk,
2016,Luhansk,
2017,Luhansk,
2018,Luhansk,
2019,Luhansk,
2020,Luhansk,
2021,Luhansk,
2022,Luhansk,
2023,Luhansk,
2015,Lviv,11.3
2016,Lviv,12.5
2017,Lviv,12.1
2018,Lviv,9.3
2019,Lviv,12.2
2020,Lviv,11.5
2021,Lviv,11.1
2022,Lviv,
2023,Lviv,
2015,Mykolayiv,11.6
2016,Mykolayiv,10.1
2017,Mykolayiv,7.2
2018,Mykolayiv,8.0
2019,Mykolayiv,12.6
2020,Mykolayiv,9.7
2021,Mykolayiv,12.2
2022,Mykolayiv,
2023,Mykolayiv,
2015,Odesa,14.8
2016,Odesa,16.7
2017,Odesa,15.0
2018,Odesa,13.1
2019,Odesa,14.8
2020,Odesa,11.8
2021,Odesa,12.8
2022,Odesa,
2023,Odesa,
2015,Poltava,16.9
2016,Poltava,14.2
2017,Poltava,13.3
2018,Poltava,14.3
2019,Poltava,13.1
2020,Poltava,12.7
2021,Poltava,15.3
2022,Poltava,
2023,Poltava,
2015,Rivne,11.7
2016,Rivne,13.7
2017,Rivne,13.2
2018,Rivne,11.7
2019,Rivne,12.5
2020,Rivne,14.6
2021,Rivne,7.8
2022,Rivne,
2023,Rivne,
2015,Sumy,11.8
2016,Sumy,12.2
2017,Sumy,11.9
2018,Sumy,14.7
2019,Sumy,16.1
2020,Sumy,11.2
2021,Sumy,11.0
2022,Sumy,
2023,Sumy,
2015,Ternopil,13.5
2016,Ternopil,11.8
2017,Ternopil,9.3
2018,Ternopil,10.1
2019,Ternopil,12.3
2020,Ternopil,11.5
2021,Ternopil,9.0
2022,Ternopil,
2023,Ternopil,
2015,Kharkiv,10.8
2016,Kharkiv,8.5
2017,Kharkiv,11.7
2018,Kharkiv,9.2
2019,Kharkiv,11.0
2020,Kharkiv,8.9
2021,Kharkiv,7.5
2022,Kharkiv,
2023,Kharkiv,
2015,Kherson,14.0
2016,Kherson,11.2
2017,Kherson,12.9
2018,Kherson,15.9
2019,Kherson,13.1
2020,Kherson,16.6
2021,Kherson,10.8
2022,Kherson,
2023,Kherson,
2015,Khmelnytskiy,14.3
2016,Khmelnytskiy,14.0
2017,Khmelnytskiy,16.9
2018,Khmelnytskiy,15.9
2019,Khmelnytskiy,10.7
2020,Khmelnytskiy,12.6
2021,Khmelnytskiy,10.1
2022,Khmelnytskiy,
2023,Khmelnytskiy,
2015,Cherkasy,9.2
2016,Cherkasy,13.4
2017,Cherkasy,11.0
2018,Cherkasy,7.5
2019,Cherkasy,10.5
2020,Cherkasy,10.6
2021,Cherkasy,12.6
2022,Cherkasy,
2023,Cherkasy,
2015,Chernivtsi,7.5
2016,Chernivtsi,9.5
2017,Chernivtsi,9.9
2018,Chernivtsi,9.4
2019,Chernivtsi,8.4
2020,Chernivtsi,9.9
2021,Chernivtsi,6.0
2022,Chernivtsi,
2023,Chernivtsi,
2015,Chernihiv,9.0
2016,Chernihiv,11.2
2017,Chernihiv,12.6
2018,Chernihiv,14.5
2019,Chernihiv,12.0
2020,Chernihiv,13.1
2021,Chernihiv,8.2
2022,Chernihiv,
2023,Chernihiv,
2015,the city of Kyiv,9.2
2016,the city of Kyiv,8.7
2017,the city of Kyiv,8.0
2018,the city of Kyiv,7.5
2019,the city of Kyiv,8.1
2020,the city of Kyiv,8.1
2021,the city of Kyiv,9.1
2022,the city of Kyiv,
2023,the city of Kyiv,
