Year,Region,Value
2022,17_reg_Zaporizhzhya,
2023,17_reg_Zaporizhzhya,
2015,18_reg_Ivano-Frankivsk,5.3
2016,18_reg_Ivano-Frankivsk,6.3
2017,18_reg_Ivano-Frankivsk,7.3
2018,18_reg_Ivano-Frankivsk,7.9
2019,18_reg_Ivano-Frankivsk,9.0
2020,18_reg_Ivano-Frankivsk,9.4
2021,18_reg_Ivano-Frankivsk,9.9
2022,18_reg_Ivano-Frankivsk,
2023,18_reg_Ivano-Frankivsk,
2015,19_reg_Kyiv,12.0
2016,19_reg_Kyiv,13.1
2017,19_reg_Kyiv,15.1
2018,19_reg_Kyiv,16.3
2019,19_reg_Kyiv,16.8
2020,19_reg_Kyiv,16.1
2021,19_reg_Kyiv,19.1
2022,19_reg_Kyiv,
2023,19_reg_Kyiv,
2015,20_reg_Kirovohrad,8.3
2016,20_reg_Kirovohrad,9.5
2017,20_reg_Kirovohrad,10.7
2018,20_reg_Kirovohrad,12.0
2019,20_reg_Kirovohrad,13.5
2020,20_reg_Kirovohrad,13.4
2021,20_reg_Kirovohrad,14.6
2022,20_reg_Kirovohrad,
2023,20_reg_Kirovohrad,
2015,21_reg_Luhansk,5.4
2016,21_reg_Luhansk,5.7
2017,21_reg_Luhansk,7.3
2018,21_reg_Luhansk,8.6
2019,21_reg_Luhansk,9.0
2020,21_reg_Luhansk,9.2
2021,21_reg_Luhansk,10.0
2022,21_reg_Luhansk,
2023,21_reg_Luhansk,
2015,22_reg_Lviv,6.6
2016,22_reg_Lviv,7.5
2017,22_reg_Lviv,8.3
2018,22_reg_Lviv,8.9
2019,22_reg_Lviv,9.4
2020,22_reg_Lviv,9.6
2021,22_reg_Lviv,10.8
2022,22_reg_Lviv,
2023,22_reg_Lviv,
2015,23_reg_Mykolayiv,8.8
2016,23_reg_Mykolayiv,9.8
2017,23_reg_Mykolayiv,10.6
2018,23_reg_Mykolayiv,12.4
2019,23_reg_Mykolayiv,13.4
2020,23_reg_Mykolayiv,13.4
2021,23_reg_Mykolayiv,13.4
2022,23_reg_Mykolayiv,
2023,23_reg_Mykolayiv,
2015,24_reg_Odesa,12.0
2016,24_reg_Odesa,13.0
2017,24_reg_Odesa,14.7
2018,24_reg_Odesa,15.4
2019,24_reg_Odesa,16.0
2020,24_reg_Odesa,15.1
2021,24_reg_Odesa,15.6
2022,24_reg_Odesa,
2023,24_reg_Odesa,
2015,25_reg_Poltava,7.9
2016,25_reg_Poltava,8.8
2017,25_reg_Poltava,10.3
2018,25_reg_Poltava,10.7
2019,25_reg_Poltava,12.0
2020,25_reg_Poltava,12.2
2021,25_reg_Poltava,12.6
2022,25_reg_Poltava,
2023,25_reg_Poltava,
2015,26_reg_Rivne,6.6
2016,26_reg_Rivne,7.9
2017,26_reg_Rivne,8.1
2018,26_reg_Rivne,9.0
2019,26_reg_Rivne,10.5
2020,26_reg_Rivne,11.0
2021,26_reg_Rivne,11.4
2022,26_reg_Rivne,
2023,26_reg_Rivne,
2015,27_reg_Sumy,6.0
2016,27_reg_Sumy,7.0
2017,27_reg_Sumy,8.3
2018,27_reg_Sumy,9.1
2019,27_reg_Sumy,9.5
2020,27_reg_Sumy,10.6
2021,27_reg_Sumy,11.1
2022,27_reg_Sumy,
2023,27_reg_Sumy,
2015,28_reg_Ternopil,5.5
2016,28_reg_Ternopil,6.4
2017,28_reg_Ternopil,8.0
2018,28_reg_Ternopil,8.4
2019,28_reg_Ternopil,9.6
2020,28_reg_Ternopil,9.4
2021,28_reg_Ternopil,10.4
2022,28_reg_Ternopil,
2023,28_reg_Ternopil,
2015,29_reg_Kharkiv,6.9
2016,29_reg_Kharkiv,8.0
2017,29_reg_Kharkiv,8.7
2018,29_reg_Kharkiv,9.2
2019,29_reg_Kharkiv,9.2
2020,29_reg_Kharkiv,9.5
2021,29_reg_Kharkiv,9.7
2022,29_reg_Kharkiv,
2023,29_reg_Kharkiv,
2015,30_reg_Kherson,9.9
2016,30_reg_Kherson,10.9
2017,30_reg_Kherson,12.4
2018,30_reg_Kherson,13.0
2019,30_reg_Kherson,14.0
2020,30_reg_Kherson,14.5
2021,30_reg_Kherson,14.4
2022,30_reg_Kherson,
2023,30_reg_Kherson,
2015,31_reg_Khmelnytskiy,7.0
2016,31_reg_Khmelnytskiy,8.0
2017,31_reg_Khmelnytskiy,8.3
2018,31_reg_Khmelnytskiy,9.3
2019,31_reg_Khmelnytskiy,10.5
2020,31_reg_Khmelnytskiy,11.1
2021,31_reg_Khmelnytskiy,12.2
2022,31_reg_Khmelnytskiy,
2023,31_reg_Khmelnytskiy,
2015,32_reg_Cherkasy,10.3
2016,32_reg_Cherkasy,12.3
2017,32_reg_Cherkasy,13.1
2018,32_reg_Cherkasy,13.8
2019,32_reg_Cherkasy,13.9
2020,32_reg_Cherkasy,14.2
2021,32_reg_Cherkasy,15.5
2022,32_reg_Cherkasy,
2023,32_reg_Cherkasy,
2015,33_reg_Chernivtsi,6.7
2016,33_reg_Chernivtsi,7.5
2017,33_reg_Chernivtsi,7.8
2018,33_reg_Chernivtsi,9.3
2019,33_reg_Chernivtsi,10.5
2020,33_reg_Chernivtsi,10.3
2021,33_reg_Chernivtsi,11.3
2022,33_reg_Chernivtsi,
2023,33_reg_Chernivtsi,
2015,34_reg_Chernihiv,7.7
2016,34_reg_Chernihiv,9.2
2017,34_reg_Chernihiv,9.8
2018,34_reg_Chernihiv,11.1
2019,34_reg_Chernihiv,12.7
2020,34_reg_Chernihiv,12.8
2021,34_reg_Chernihiv,14.0
2022,34_reg_Chernihiv,
2023,34_reg_Chernihiv,
